id,state,region,pm25,hospitalizations,wildfires,sanitation,life_expectancy,primary_care
1,AC,Norte,12.4,86,340,58,71.2,66
2,AL,Nordeste,14.6,102,220,69,72.8,74
3,AM,Norte,19.2,118,910,55,70.4,63
4,AP,Norte,11.8,79,180,61,72.1,68
5,BA,Nordeste,17.3,121,620,72,73.5,77
6,CE,Nordeste,13.2,95,260,74,74.0,82
7,DF,Centro-Oeste,10.5,88,140,92,78.4,80
8,ES,Sudeste,11.6,92,150,84,78.1,79
9,GO,Centro-Oeste,15.1,109,510,81,75.6,73
10,MA,Nordeste,18.4,134,780,49,69.8,61
11,MG,Sudeste,12.9,97,430,86,77.3,83
12,MS,Centro-Oeste,16.5,111,700,79,75.1,72
13,MT,Centro-Oeste,21.4,146,1000,71,74.2,69
14,PA,Norte,20.1,139,860,57,71.0,64
15,PB,Nordeste,13.9,93,210,68,73.9,78
16,PE,Nordeste,15.7,116,320,76,74.1,81
17,PI,Nordeste,16.8,120,410,53,71.5,70
18,PR,Sul,10.9,84,170,90,78.7,85
19,RJ,Sudeste,13.6,101,240,88,77.8,76
20,RN,Nordeste,12.8,90,160,70,75.2,79
21,RO,Norte,17.9,124,690,60,72.3,67
22,RR,Norte,14.2,99,380,62,71.7,65
23,RS,Sul,11.1,87,130,91,79.0,84
24,SC,Sul,9.8,80,120,93,79.4,86
25,SE,Nordeste,13.1,91,175,73,74.4,80
26,SP,Sudeste,12.3,98,280,95,79.2,88
27,TO,Norte,18.7,127,740,65,72.0,66
